step,factor,rank_gen,theta,tan_theta,mu,rank_mu,nu,rank_nu,abs_c_mu,abs_c_nu,fid_after,flag
1,"(1u,1d)->(4u,4d)",2,-0.0066998860436769765,-0.006699986294694944,|0u 0d 4u 4d 5u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.2880426167672649,0.6855476640947558,0.683602439288336,
2,"(5u,5d)->(2u,2d)",2,0.34100140280214136,0.3548639857881009,|0u 0d 1u 1d 2u 2d>,2,|0u 0d 1u 1d 5u 5d>,0,0.2880426167672651,0.6855476640947558,0.740335402680187,
3,"(0u,0d)->(3u,3d)",2,0.07630236740637039,0.07645079183487585,|1u 1d 3u 3d 5u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.11538477902639763,0.6855476640947558,0.7487664640318663,
4,"(1u,5d)->(2u,4d)",2,0.14414167012620918,0.14514830538979703,|0u 0d 1d 2u 4d 5u>,2,|0u 0d 1u 1d 5u 5d>,0,0.1865310214646874,0.6855476640947558,0.7678569832381358,
5,"(1d,5u)->(2d,4u)",2,-0.1066443562657678,-0.10705049338810108,|0u 0d 1u 2d 4u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.1865310214646874,0.6855476640947558,0.7435485622450884,
6,"(0u,5d)->(2u,3d)",2,0.4237173170391681,0.45103863135801014,|0d 1u 1d 2u 3d 5u>,2,|0u 0d 1u 1d 5u 5d>,0,0.1473144463706641,0.6855476640947558,0.7396983657693322,
7,"(0d,5u)->(2d,3u)",2,1.059111019503691,1.7807110745355363,|0u 1u 1d 2d 3u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.14731444637066413,0.6855476640947558,0.5555320728914088,warn_gt_pi4
8,"(0d,1u)->(3u,4d)",2,-0.8987789260212677,-1.2570029332543429,|0u 1d 3u 4d 5u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.14731444637066407,0.6855476640947558,0.4499835388416648,warn_gt_pi4
9,"(0u,1d)->(3d,4u)",2,-0.3145519164937963,-0.32535385606344436,|0d 1u 3d 4u 5u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.14731444637066407,0.6855476640947558,0.4767190728921305,
10,"(0u,1d)->(3u,4d)",2,0.12467514531595257,0.1253251661488433,|0d 1u 3u 4d 5u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.10555514881445112,0.6855476640947558,0.47721985571161196,
11,"(0d,1u)->(3d,4u)",2,0.01934728210690755,0.019349696476031873,|0u 1d 3d 4u 5u 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.10555514881445115,0.6855476640947558,0.47781504630895777,
12,"(0u,5d)->(2d,3u)",2,-0.5785533669943003,-0.653102811110305,|0d 1u 1d 2d 3u 5u>,2,|0u 0d 1u 1d 5u 5d>,0,0.10555514881445116,0.6855476640947558,0.43613287856900546,
13,"(0d,5u)->(2u,3d)",2,-0.7874946109657243,-1.0042017099568097,|0u 1u 1d 2u 3d 5d>,2,|0u 0d 1u 1d 5u 5d>,0,0.10555514881445116,0.6855476640947558,0.48750804434298234,warn_gt_pi4
14,"(1d,5d)->(2d,4d)",2,0.3472941813805203,0.3619651554258662,|0u 0d 1u 2d 4d 5u>,2,|0u 0d 1u 1d 5u 5d>,0,0.10151159530257711,0.6855476640947558,0.48667646178071183,
