K,fidelity,infidelity,dE_mt,pct_corr,max_abs_theta,n_singles,n_doubles,n_higher
1,0.6877632288566847,0.3122367711433153,3751.436524835375,-2.8208432263651315,0.08028869547744044,0,0,1
2,0.6956196293836232,0.3043803706163768,3905.0419257955627,-7.030920285190883,0.1504355533331486,0,0,2
3,0.6958345363475437,0.30416546365245634,3852.448907476192,-5.589430217154959,0.1504355533331486,0,0,3
4,0.7019141250441904,0.2980858749558096,4040.6719688201188,-10.74832168550515,0.1504355533331486,0,0,4
6,0.7089514836375984,0.2910485163624016,4180.8316300820225,-14.58987263855053,0.1504355533331486,0,0,6
8,0.7138127013418062,0.2861872986581938,4261.317384887525,-16.79585776505492,0.1504355533331486,0,0,8
12,0.721819110195013,0.278180889804987,4428.425874249187,-21.376032765404744,0.1504355533331486,0,0,12
16,0.7283933394499734,0.2716066605500266,4592.326915969677,-25.86829678315194,0.1504355533331486,0,0,16
24,0.7367098738254723,0.26329012617452774,5120.016800067734,-40.331428035883455,0.1504355533331486,0,0,24
32,0.7406364909426585,0.2593635090573415,5398.493983203714,-47.96403986332227,0.1504355533331486,0,0,32
48,0.7444215181379038,0.2555784818620962,5698.561051692773,-56.18839573400098,0.1504355533331486,0,0,48
64,0.7486281417084723,0.25137185829152775,5670.218011934963,-55.41155858689659,0.1504355533331486,0,0,64
96,0.8626880714801685,0.13731192851983154,3113.5028537241965,14.663892967863944,0.3627241699847987,0,2,94
128,0.9065355676570791,0.0934644323429209,1687.0224215278565,53.76142798234054,0.3627241699847987,0,4,124
192,0.9856413594363691,0.014358640563630898,305.0361454469468,91.63944971966396,0.3627241699847987,0,16,176
220,1.0000000000000004,-4.440892098500626e-16,-3.1086244689504383e-12,100.00000000000009,0.3627241699847987,0,25,195
